C-A10-0;C-RGRP86-0;F-RGR-BRPNOM;F-RGR-BRPEINW;F-RGR-BRPERW;F-RGR-VERVJ;F-RGR-VERKVJ
A10-2003;AT335;6502,0;28100,0;0,0;0,0;0,0
A10-2003;AT341;2472,0;28300,0;0,0;0,0;0,0
A10-2003;AT342;7884,0;29400,0;0,0;0,0;0,0
A10-2003;ATZZZ;110,0;0,0;0,0;0,0;0,0
A10-2003;AT11;5260,0;19000,0;46300,0;-1,0;-1,0
A10-2003;AT12;35260,0;22700,0;52800,0;1,0;0,7
A10-2003;AT13;61305,0;38300,0;68200,0;-0,1;-1,2
A10-2003;AT21;13493,0;24200,0;52900,0;1,0;1,2
A10-2003;AT22;29769,0;25000,0;52100,0;2,4;2,3
A10-2003;AT31;38815,0;28000,0;57100,0;2,2;1,9
A10-2003;AT32;16381,0;31600,0;57700,0;1,9;1,7
A10-2003;AT33;19794,0;29100,0;55600,0;1,5;0,9
A10-2003;AT34;10355,0;29100,0;60200,0;0,6;0,0
A10-2003;ATZZ;110,0;0,0;67400,0;-3,1;0,0
A10-2003;AT1;101825,0;29700,0;60600,0;0,3;-0,4
A10-2003;AT2;43262,0;24700,0;52400,0;2,0;1,9
A10-2003;AT3;85345,0;29000,0;57200,0;1,8;1,4
A10-2003;ATZ;110,0;0,0;67400,0;-3,1;0,0
A10-2004;AT111;645,0;17200,0;0,0;0,0;0,0
A10-2004;AT112;3101,0;21700,0;0,0;0,0;0,0
A10-2004;AT113;1787,0;18400,0;0,0;0,0;0,0
A10-2004;AT121;5094,0;21400,0;0,0;0,0;0,0
A10-2004;AT122;5391,0;21700,0;0,0;0,0;0,0
A10-2004;AT123;4082,0;28200,0;0,0;0,0;0,0
A10-2004;AT124;4551,0;20500,0;0,0;0,0;0,0
A10-2004;AT125;1884,0;15300,0;0,0;0,0;0,0
A10-2004;AT126;5909,0;20700,0;0,0;0,0;0,0
A10-2004;AT127;10890,0;36200,0;0,0;0,0;0,0
A10-2004;AT130;62924,0;38800,0;0,0;0,0;0,0
A10-2004;AT211;8196,0;30300,0;0,0;0,0;0,0
A10-2004;AT212;2611,0;20000,0;0,0;0,0;0,0
A10-2004;AT213;3297,0;21000,0;0,0;0,0;0,0
A10-2004;AT221;13918,0;37200,0;0,0;0,0;0,0
A10-2004;AT222;1915,0;23600,0;0,0;0,0;0,0
A10-2004;AT223;4242,0;24600,0;0,0;0,0;0,0
A10-2004;AT224;5114,0;19100,0;0,0;0,0;0,0
A10-2004;AT225;3818,0;20000,0;0,0;0,0;0,0
A10-2004;AT226;2361,0;22000,0;0,0;0,0;0,0
A10-2004;AT311;5973,0;21800,0;0,0;0,0;0,0
A10-2004;AT312;20698,0;38700,0;0,0;0,0;0,0
A10-2004;AT313;3133,0;15400,0;0,0;0,0;0,0
A10-2004;AT314;4623,0;30200,0;0,0;0,0;0,0
A10-2004;AT315;5853,0;25700,0;0,0;0,0;0,0
A10-2004;AT321;423,0;20000,0;0,0;0,0;0,0
A10-2004;AT322;4128,0;25400,0;0,0;0,0;0,0
A10-2004;AT323;12707,0;37700,0;0,0;0,0;0,0
A10-2004;AT331;949,0;29900,0;0,0;0,0;0,0
A10-2004;AT332;9081,0;33300,0;0,0;0,0;0,0
A10-2004;AT333;1035,0;20600,0;0,0;0,0;0,0
A10-2004;AT334;2572,0;26200,0;0,0;0,0;0,0
A10-2004;AT335;6669,0;28700,0;0,0;0,0;0,0
A10-2004;AT341;2620,0;29800,0;0,0;0,0;0,0
A10-2004;AT342;8235,0;30400,0;0,0;0,0;0,0
A10-2004;ATZZZ;114,0;0,0;0,0;0,0;0,0
A10-2004;AT11;5532,0;19900,0;49000,0;4,1;3,8
A10-2004;AT12;37801,0;24200,0;56400,0;5,5;4,9
A10-2004;AT13;62924,0;38800,0;70200,0;1,0;-0,2
A10-2004;AT21;14104,0;25300,0;55000,0;2,7;2,7
A10-2004;AT22;31367,0;26300,0;54200,0;3,3;3,0
A10-2004;AT31;40280,0;29000,0;59100,0;1,8;1,4
A10-2004;AT32;17258,0;33100,0;60300,0;3,6;3,1
A10-2004;AT33;20306,0;29600,0;56700,0;0,7;0,0
A10-2004;AT34;10855,0;30300,0;63000,0;3,0;2,2
A10-2004;ATZZ;114,0;0,0;72500,0;-0,5;0,0
A10-2004;AT1;106257,0;30700,0;63200,0;2,8;1,9
A10-2004;AT2;45471,0;25900,0;54500,0;3,1;2,9
A10-2004;AT3;88699,0;30000,0;59200,0;2,1;1,5
A10-2004;ATZ;114,0;0,0;72500,0;-0,5;0,0
A10-2005;AT111;666,0;17800,0;0,0;0,0;0,0
A10-2005;AT112;3119,0;21700,0;0,0;0,0;0,0
A10-2005;AT113;1793,0;18400,0;0,0;0,0;0,0
A10-2005;AT121;5394,0;22500,0;0,0;0,0;0,0
A10-2005;AT122;5621,0;22500,0;0,0;0,0;0,0
A10-2005;AT123;4271,0;29300,0;0,0;0,0;0,0
A10-2005;AT124;4636,0;20900,0;0,0;0,0;0,0
A10-2005;AT125;1853,0;15000,0;0,0;0,0;0,0
A10-2005;AT126;6074,0;21100,0;0,0;0,0;0,0
A10-2005;AT127;11436,0;37500,0;0,0;0,0;0,0
A10-2005;AT130;66069,0;40200,0;0,0;0,0;0,0
A10-2005;AT211;8523,0;31400,0;0,0;0,0;0,0
A10-2005;AT212;2681,0;20500,0;0,0;0,0;0,0
A10-2005;AT213;3366,0;21500,0;0,0;0,0;0,0
A10-2005;AT221;14442,0;38000,0;0,0;0,0;0,0
A10-2005;AT222;1979,0;24400,0;0,0;0,0;0,0
A10-2005;AT223;4655,0;27100,0;0,0;0,0;0,0
A10-2005;AT224;5275,0;19700,0;0,0;0,0;0,0
A10-2005;AT225;3844,0;20100,0;0,0;0,0;0,0
A10-2005;AT226;2355,0;22000,0;0,0;0,0;0,0
A10-2005;AT311;6339,0;23100,0;0,0;0,0;0,0
A10-2005;AT312;21961,0;40800,0;0,0;0,0;0,0
A10-2005;AT313;3252,0;16000,0;0,0;0,0;0,0
A10-2005;AT314;4901,0;32000,0;0,0;0,0;0,0
A10-2005;AT315;6353,0;27800,0;0,0;0,0;0,0
A10-2005;AT321;434,0;20600,0;0,0;0,0;0,0
A10-2005;AT322;4472,0;27500,0;0,0;0,0;0,0
