C-DEMIND_ZEIT-0;C-DEMIND_NUTS3-0;F-DEMIND_TFR
DEMIND_ZEIT-2022;GRNU-AT342;1,529
DEMIND_ZEIT-2022;GRNU-AT11;1,354
DEMIND_ZEIT-2022;GRNU-AT12;1,477
DEMIND_ZEIT-2022;GRNU-AT13;1,254
DEMIND_ZEIT-2022;GRNU-AT21;1,403
DEMIND_ZEIT-2022;GRNU-AT22;1,376
DEMIND_ZEIT-2022;GRNU-AT31;1,563
DEMIND_ZEIT-2022;GRNU-AT32;1,481
DEMIND_ZEIT-2022;GRNU-AT33;1,441
DEMIND_ZEIT-2022;GRNU-AT34;1,553
DEMIND_ZEIT-2022;GRNU-AT1;1,331
DEMIND_ZEIT-2022;GRNU-AT2;1,383
DEMIND_ZEIT-2022;GRNU-AT3;1,517
DEMIND_ZEIT-2022;GRNU-AT0;1,406
DEMIND_ZEIT-2023;GRNU-AT111;1,191
DEMIND_ZEIT-2023;GRNU-AT112;1,244
DEMIND_ZEIT-2023;GRNU-AT113;1,323
DEMIND_ZEIT-2023;GRNU-AT121;1,499
DEMIND_ZEIT-2023;GRNU-AT122;1,387
DEMIND_ZEIT-2023;GRNU-AT123;1,356
DEMIND_ZEIT-2023;GRNU-AT124;1,378
DEMIND_ZEIT-2023;GRNU-AT125;1,307
DEMIND_ZEIT-2023;GRNU-AT126;1,391
DEMIND_ZEIT-2023;GRNU-AT127;1,332
DEMIND_ZEIT-2023;GRNU-AT130;1,168
DEMIND_ZEIT-2023;GRNU-AT211;1,266
DEMIND_ZEIT-2023;GRNU-AT212;1,403
DEMIND_ZEIT-2023;GRNU-AT213;1,399
DEMIND_ZEIT-2023;GRNU-AT221;1,265
DEMIND_ZEIT-2023;GRNU-AT222;1,588
DEMIND_ZEIT-2023;GRNU-AT223;1,249
DEMIND_ZEIT-2023;GRNU-AT224;1,454
DEMIND_ZEIT-2023;GRNU-AT225;1,406
DEMIND_ZEIT-2023;GRNU-AT226;1,424
DEMIND_ZEIT-2023;GRNU-AT311;1,465
DEMIND_ZEIT-2023;GRNU-AT312;1,394
DEMIND_ZEIT-2023;GRNU-AT313;1,571
DEMIND_ZEIT-2023;GRNU-AT314;1,481
DEMIND_ZEIT-2023;GRNU-AT315;1,440
DEMIND_ZEIT-2023;GRNU-AT321;1,399
DEMIND_ZEIT-2023;GRNU-AT322;1,517
DEMIND_ZEIT-2023;GRNU-AT323;1,325
DEMIND_ZEIT-2023;GRNU-AT331;1,385
DEMIND_ZEIT-2023;GRNU-AT332;1,181
DEMIND_ZEIT-2023;GRNU-AT333;1,602
DEMIND_ZEIT-2023;GRNU-AT334;1,399
DEMIND_ZEIT-2023;GRNU-AT335;1,404
DEMIND_ZEIT-2023;GRNU-AT341;1,575
DEMIND_ZEIT-2023;GRNU-AT342;1,480
DEMIND_ZEIT-2023;GRNU-AT11;1,261
DEMIND_ZEIT-2023;GRNU-AT12;1,386
DEMIND_ZEIT-2023;GRNU-AT13;1,168
DEMIND_ZEIT-2023;GRNU-AT21;1,327
DEMIND_ZEIT-2023;GRNU-AT22;1,334
DEMIND_ZEIT-2023;GRNU-AT31;1,446
DEMIND_ZEIT-2023;GRNU-AT32;1,381
DEMIND_ZEIT-2023;GRNU-AT33;1,309
DEMIND_ZEIT-2023;GRNU-AT34;1,500
DEMIND_ZEIT-2023;GRNU-AT1;1,241
DEMIND_ZEIT-2023;GRNU-AT2;1,332
DEMIND_ZEIT-2023;GRNU-AT3;1,407
DEMIND_ZEIT-2023;GRNU-AT0;1,317
DEMIND_ZEIT-2024;GRNU-AT111;1,253
DEMIND_ZEIT-2024;GRNU-AT112;1,188
DEMIND_ZEIT-2024;GRNU-AT113;1,240
DEMIND_ZEIT-2024;GRNU-AT121;1,464
DEMIND_ZEIT-2024;GRNU-AT122;1,400
DEMIND_ZEIT-2024;GRNU-AT123;1,357
DEMIND_ZEIT-2024;GRNU-AT124;1,382
DEMIND_ZEIT-2024;GRNU-AT125;1,290
DEMIND_ZEIT-2024;GRNU-AT126;1,352
DEMIND_ZEIT-2024;GRNU-AT127;1,310
DEMIND_ZEIT-2024;GRNU-AT130;1,218
DEMIND_ZEIT-2024;GRNU-AT211;1,254
DEMIND_ZEIT-2024;GRNU-AT212;1,354
DEMIND_ZEIT-2024;GRNU-AT213;1,344
DEMIND_ZEIT-2024;GRNU-AT221;1,227
DEMIND_ZEIT-2024;GRNU-AT222;1,395
DEMIND_ZEIT-2024;GRNU-AT223;1,287
DEMIND_ZEIT-2024;GRNU-AT224;1,368
DEMIND_ZEIT-2024;GRNU-AT225;1,305
DEMIND_ZEIT-2024;GRNU-AT226;1,471
DEMIND_ZEIT-2024;GRNU-AT311;1,512
DEMIND_ZEIT-2024;GRNU-AT312;1,394
DEMIND_ZEIT-2024;GRNU-AT313;1,570
DEMIND_ZEIT-2024;GRNU-AT314;1,437
DEMIND_ZEIT-2024;GRNU-AT315;1,440
DEMIND_ZEIT-2024;GRNU-AT321;1,466
DEMIND_ZEIT-2024;GRNU-AT322;1,426
DEMIND_ZEIT-2024;GRNU-AT323;1,271
DEMIND_ZEIT-2024;GRNU-AT331;1,420
DEMIND_ZEIT-2024;GRNU-AT332;1,164
DEMIND_ZEIT-2024;GRNU-AT333;1,660
DEMIND_ZEIT-2024;GRNU-AT334;1,379
DEMIND_ZEIT-2024;GRNU-AT335;1,402
DEMIND_ZEIT-2024;GRNU-AT341;1,469
DEMIND_ZEIT-2024;GRNU-AT342;1,443
DEMIND_ZEIT-2024;GRNU-AT11;1,212
DEMIND_ZEIT-2024;GRNU-AT12;1,370
DEMIND_ZEIT-2024;GRNU-AT13;1,218
DEMIND_ZEIT-2024;GRNU-AT21;1,297
DEMIND_ZEIT-2024;GRNU-AT22;1,285
DEMIND_ZEIT-2024;GRNU-AT31;1,451
DEMIND_ZEIT-2024;GRNU-AT32;1,320
DEMIND_ZEIT-2024;GRNU-AT33;1,304
DEMIND_ZEIT-2024;GRNU-AT34;1,447
DEMIND_ZEIT-2024;GRNU-AT1;1,261
DEMIND_ZEIT-2024;GRNU-AT2;1,288
DEMIND_ZEIT-2024;GRNU-AT3;1,391
DEMIND_ZEIT-2024;GRNU-AT0;1,311
